2.787764441354381034e-02,2.661705829738319817e+00
2.689300672687384264e+00,2.661705829738319817e+00
2.805051560855216231e+00,2.661705829738319817e+00
2.037357030864050511e+00,2.661705829738319817e+00
2.853449011274281855e+00,2.661705829738319817e+00
3.173499419197941762e+00,2.661705829738319817e+00
3.180180871979238155e+00,2.661705829738319817e+00
3.176282393114373104e+00,2.661705829738319817e+00
3.036919384044353354e+00,2.661705829738319817e+00
3.129101096794259185e+00,2.661705829738319817e+00
2.869460342470058656e+00,2.661705829738319817e+00
2.854905384608935393e+00,2.661705829738319817e+00
2.618528417394424768e+00,2.661705829738319817e+00
2.410994223392613822e+00,2.661705829738319817e+00
2.756058457689170904e+00,2.661705829738319817e+00
2.885105319285155900e+00,2.661705829738319817e+00
2.681199163942240560e+00,2.661705829738319817e+00
2.540721288064348826e+00,2.661705829738319817e+00
2.807952279426852549e+00,2.661705829738319817e+00
2.621992566258847468e+00,2.661705829738319817e+00
2.555787228033892688e+00,2.661705829738319817e+00
2.423373956094529547e+00,2.661705829738319817e+00
2.641414543440339102e+00,2.661705829738319817e+00
2.781395512295361527e+00,2.661705829738319817e+00
2.874036736754126409e+00,2.661705829738319817e+00
2.943686140018925368e+00,2.661705829738319817e+00
2.913594257765885320e+00,2.661705829738319817e+00
3.017861941564984107e+00,2.661705829738319817e+00
3.088201194927714610e+00,2.661705829738319817e+00
3.088497378298576734e+00,2.661705829738319817e+00
3.124716177801993400e+00,2.661705829738319817e+00
3.144258009743386317e+00,2.661705829738319817e+00
3.081926808866823020e+00,2.661705829738319817e+00
3.046038036604203914e+00,2.661705829738319817e+00
3.130180824704097198e+00,2.661705829738319817e+00
3.200625828679115603e+00,2.661705829738319817e+00
3.129277766887910150e+00,2.661705829738319817e+00
3.188003026286849284e+00,2.661705829738319817e+00
3.176777765082767324e+00,2.661705829738319817e+00
3.153052765736945595e+00,2.661705829738319817e+00
3.117765463745617360e+00,2.661705829738319817e+00
3.202791145524453320e+00,2.661705829738319817e+00
3.235016622793125407e+00,2.661705829738319817e+00
3.192130351125973320e+00,2.661705829738319817e+00
3.253956336276928152e+00,2.661705829738319817e+00
3.272637792049890137e+00,2.661705829738319817e+00
3.285209990785839196e+00,2.661705829738319817e+00
3.270317262496658550e+00,2.661705829738319817e+00
3.246069237292978471e+00,2.661705829738319817e+00
3.255330042634691168e+00,2.661705829738319817e+00
3.228765358237132510e+00,2.661705829738319817e+00
3.220288155957254705e+00,2.661705829738319817e+00
3.181765566691968417e+00,2.661705829738319817e+00
3.113130609034989948e+00,2.661705829738319817e+00
3.129932485018908750e+00,2.661705829738319817e+00
3.125024164974292695e+00,2.661705829738319817e+00
3.075329196932423681e+00,2.661705829738319817e+00
3.055750386877312597e+00,2.661705829738319817e+00
3.102462603594373203e+00,2.661705829738319817e+00
3.127940212042757295e+00,2.661705829738319817e+00
