iteration,empirical_entropy_maxent,empirical_entropy_uniform_policy,theoretical_max_entropy
3.600000000000000000e+01,3.133965065242440673e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.700000000000000000e+01,3.102542836050191433e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.800000000000000000e+01,3.141748867846023252e+00,2.677534082305272456e+00,3.610917912644224348e+00
3.900000000000000000e+01,3.196069411714223207e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.000000000000000000e+01,3.243483855215193223e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.100000000000000000e+01,3.199957234453719046e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.200000000000000000e+01,3.200946456755035197e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.300000000000000000e+01,3.244891285372676570e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.400000000000000000e+01,3.192089600245407333e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.500000000000000000e+01,3.200134345302215522e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.600000000000000000e+01,3.244525071846650732e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.700000000000000000e+01,3.268257776908070511e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.800000000000000000e+01,3.272421192219771680e+00,2.677534082305272456e+00,3.610917912644224348e+00
4.900000000000000000e+01,3.269614188295655755e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.000000000000000000e+01,3.268253486146289077e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.100000000000000000e+01,3.268166971620200201e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.200000000000000000e+01,3.236438345866035071e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.300000000000000000e+01,3.232173170932929551e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.400000000000000000e+01,3.189264612210074734e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.500000000000000000e+01,3.142870537775908524e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.600000000000000000e+01,3.107549627056447328e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.700000000000000000e+01,3.137614588142539240e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.800000000000000000e+01,3.151791587166703934e+00,2.677534082305272456e+00,3.610917912644224348e+00
5.900000000000000000e+01,3.095402326823865291e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.000000000000000000e+01,3.094094663040309889e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.100000000000000000e+01,3.118104676008563558e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.200000000000000000e+01,3.132735046871326201e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.300000000000000000e+01,3.119082848978234956e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.400000000000000000e+01,3.115991747711266857e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.500000000000000000e+01,3.119609300071362945e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.600000000000000000e+01,3.110774643765532588e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.700000000000000000e+01,3.104524225513615399e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.800000000000000000e+01,3.115942765456181540e+00,2.677534082305272456e+00,3.610917912644224348e+00
6.900000000000000000e+01,3.125144843111555382e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.000000000000000000e+01,3.132843580365922698e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.100000000000000000e+01,3.142912853591611544e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.200000000000000000e+01,3.148411321069561453e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.300000000000000000e+01,3.147235046952340021e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.400000000000000000e+01,3.151784299677109935e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.500000000000000000e+01,3.176938102631549743e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.600000000000000000e+01,3.159161146006052689e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.700000000000000000e+01,3.164953694431699383e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.800000000000000000e+01,3.190924911745814718e+00,2.677534082305272456e+00,3.610917912644224348e+00
7.900000000000000000e+01,3.199682895236240388e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.000000000000000000e+01,3.203470562678035094e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.100000000000000000e+01,3.184370542445881025e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.200000000000000000e+01,3.198404306389775353e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.300000000000000000e+01,3.210573175396205237e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.400000000000000000e+01,3.201937208840680782e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.500000000000000000e+01,3.199450192586200004e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.600000000000000000e+01,3.169409454372332569e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.700000000000000000e+01,3.152760642921698775e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.800000000000000000e+01,3.157045665622303154e+00,2.677534082305272456e+00,3.610917912644224348e+00
8.900000000000000000e+01,3.140568857160280558e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.000000000000000000e+01,3.124717270508495570e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.100000000000000000e+01,3.144354617967114685e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.200000000000000000e+01,3.155855779748804935e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.300000000000000000e+01,3.157515432450803683e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.400000000000000000e+01,3.149623677099588459e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.500000000000000000e+01,3.142723285527770472e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.600000000000000000e+01,3.128705736683927707e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.700000000000000000e+01,3.140380900370775663e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.800000000000000000e+01,3.154839327354215239e+00,2.677534082305272456e+00,3.610917912644224348e+00
9.900000000000000000e+01,3.162062431959386188e+00,2.677534082305272456e+00,3.610917912644224348e+00
1.000000000000000000e+02,3.156953054389943780e+00,2.677534082305272456e+00,3.610917912644224348e+00
